amr_id,task_id,segment_type,start_time,end_time,start_node,end_node,amr_location_before,amr_location_after,start_x,start_y,start_floor,end_x,end_y,end_floor,status,sim_time_sec,sim_datetime,event_type,payload,weight_kg,from_location,to_location,lift_id,duration_sec,wait_time_sec,distance_m,task_duration_sec,details
AMR-A-1,T1,corridor,2026-01-01 08:01:15,2026-01-01 08:01:19,C2-5,C2-4,,,134.284,-149.468,2,138.449,-149.882,2,completed,75.584,2026-01-01 08:01:15,segment_corridor,food_trolley,,C2-5,C2-4,,3.488,0.0,4.186,0.0,"{""type"": ""corridor"", ""from"": ""C2-5"", ""to"": ""C2-4"", ""duration"": 3.48793764677322, ""distance_m"": 4.185525176127864, ""from_x"": 134.284, ""from_y"": -149.468, ""to_x"": 138.449, ""to_y"": -149.882, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,corridor,2026-01-01 08:01:19,2026-01-01 08:01:22,C2-4,C2-3,,,138.449,-149.882,2,142.469,-149.736,2,completed,79.072,2026-01-01 08:01:19,segment_corridor,food_trolley,,C2-4,C2-3,,3.352,0.0,4.023,0.0,"{""type"": ""corridor"", ""from"": ""C2-4"", ""to"": ""C2-3"", ""duration"": 3.3522086417431836, ""distance_m"": 4.02265037009182, ""from_x"": 138.449, ""from_y"": -149.882, ""to_x"": 142.469, ""to_y"": -149.736, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,corridor,2026-01-01 08:01:22,2026-01-01 08:01:31,C2-3,C2-2,,,142.469,-149.736,2,142.153,-138.602,2,completed,82.424,2026-01-01 08:01:22,segment_corridor,food_trolley,,C2-3,C2-2,,9.282,0.0,11.138,0.0,"{""type"": ""corridor"", ""from"": ""C2-3"", ""to"": ""C2-2"", ""duration"": 9.282069483088815, ""distance_m"": 11.138483379706578, ""from_x"": 142.469, ""from_y"": -149.736, ""to_x"": 142.153, ""to_y"": -138.602, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,corridor,2026-01-01 08:01:31,2026-01-01 08:01:34,C2-2,C2-1,,,142.153,-138.602,2,142.153,-135.436,2,completed,91.706,2026-01-01 08:01:31,segment_corridor,food_trolley,,C2-2,C2-1,,2.638,0.0,3.166,0.0,"{""type"": ""corridor"", ""from"": ""C2-2"", ""to"": ""C2-1"", ""duration"": 2.638333333333331, ""distance_m"": 3.165999999999997, ""from_x"": 142.153, ""from_y"": -138.602, ""to_x"": 142.153, ""to_y"": -135.436, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,corridor,2026-01-01 08:01:34,2026-01-01 08:01:37,C2-1,KITCHEN,,,142.153,-135.436,2,142.071,-131.132,2,completed,94.345,2026-01-01 08:01:34,segment_corridor,food_trolley,,C2-1,KITCHEN,,3.587,0.0,4.305,0.0,"{""type"": ""corridor"", ""from"": ""C2-1"", ""to"": ""KITCHEN"", ""duration"": 3.587317552464827, ""distance_m"": 4.304781062957792, ""from_x"": 142.153, ""from_y"": -135.436, ""to_x"": 142.071, ""to_y"": -131.132, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,pickup,2026-01-01 08:01:37,2026-01-01 08:01:57,,,,,,,,,,,completed,97.932,2026-01-01 08:01:37,segment_pickup,food_trolley,,KITCHEN,ADULTIP1-DELIVERYHUB,,20.0,0.0,0.0,0.0,"{""type"": ""pickup"", ""location"": ""KITCHEN"", ""duration"": 20.0, ""from_x"": null, ""from_y"": null, ""to_x"": null, ""to_y"": null, ""from_floor"": null, ""to_floor"": null}"
AMR-A-1,T1,corridor,2026-01-01 08:01:57,2026-01-01 08:02:01,KITCHEN,C2-1,,,142.071,-131.132,2,142.153,-135.436,2,completed,117.932,2026-01-01 08:01:57,segment_corridor,food_trolley,,KITCHEN,C2-1,,3.587,0.0,4.305,0.0,"{""type"": ""corridor"", ""from"": ""KITCHEN"", ""to"": ""C2-1"", ""duration"": 3.587317552464827, ""distance_m"": 4.304781062957792, ""from_x"": 142.071, ""from_y"": -131.132, ""to_x"": 142.153, ""to_y"": -135.436, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,corridor,2026-01-01 08:02:01,2026-01-01 08:02:04,C2-1,Lift-5-F2,,,142.153,-135.436,2,138.393,-135.355,2,completed,121.519,2026-01-01 08:02:01,segment_corridor,food_trolley,,C2-1,Lift-5-F2,,3.134,0.0,3.761,0.0,"{""type"": ""corridor"", ""from"": ""C2-1"", ""to"": ""Lift-5-F2"", ""duration"": 3.1340603101691795, ""distance_m"": 3.760872372203015, ""from_x"": 142.153, ""from_y"": -135.436, ""to_x"": 138.393, ""to_y"": -135.355, ""from_floor"": 2, ""to_floor"": 2}"
AMR-A-1,T1,lift_transfer,2026-01-01 08:02:04,2026-01-01 08:02:33,Lift-5-F2,Lift-5-F3,,,138.393,-135.355,2,138.393,-135.355,3,completed,124.653,2026-01-01 08:02:04,segment_lift_transfer,food_trolley,,Lift-5-F2,Lift-5-F3,Lift-5,28.889,0.0,4.0,0.0,"{""type"": ""lift_transfer"", ""lift_id"": ""Lift-5"", ""from"": ""Lift-5-F2"", ""to"": ""Lift-5-F3"", ""from_floor"": 2, ""to_floor"": 3, ""wait_time"": 0.0, ""duration"": 28.888888888888886, ""distance_m"": 4.0, ""vertical_distance_m"": 4.0, ""from_x"": 138.393, ""from_y"": -135.355, ""to_x"": 138.393, ""to_y"": -135.355}"
AMR-A-1,T1,corridor,2026-01-01 08:02:33,2026-01-01 08:02:36,Lift-5-F3,C3-1,,,138.393,-135.355,3,142.199,-136.453,3,completed,153.542,2026-01-01 08:02:33,segment_corridor,food_trolley,,Lift-5-F3,C3-1,,3.301,0.0,3.961,0.0,"{""type"": ""corridor"", ""from"": ""Lift-5-F3"", ""to"": ""C3-1"", ""duration"": 3.3010141539297475, ""distance_m"": 3.961216984715697, ""from_x"": 138.393, ""from_y"": -135.355, ""to_x"": 142.199, ""to_y"": -136.453, ""from_floor"": 3, ""to_floor"": 3}"
