NAME,FLOOR,X,Y
C3-6,3,83.189,-85.358
Lift-3,3,137.09,-89.028
Lift-4,3,140.605,-89.055
Lift-5,3,138.393,-135.355
Lift-6,3,138.437,-138.749
ADULTIP1-DH,3,146.054,-136.54
MATERNITY-DH,3,90.776,-81.43
Lift-8,3,92.111,-89.054
MATERNITY-DELIVERYHUB,3,83.021,-82.796
ADULTIP2-DH,3,138.259,-81.424
C3-1,3,142.199,-136.453
C3-2,3,137.822,-85.423
C3-3,3,140.669,-85.502
C3-4,3,92.168,-85.521
C3-5,3,88.783,-85.502
ADULTIP2-DELIVERYHUB,3,146.034,-82.784
Lift-7,3,88.661,-88.972
