NAME,FLOOR,X,Y
C5-6,5,83.189,-85.358
C5-5,5,88.783,-85.502
C5-4,5,92.168,-85.521
C5-3,5,140.669,-85.502
C5-2,5,137.822,-85.423
C5-1,5,142.199,-136.453
ADULTIP3-DELIVERYHUB,5,83.021,-82.796
ADULTIP3-DH,5,90.776,-81.43
ADULTIP5-DH,5,146.054,-136.54
Lift-6,5,138.437,-138.749
Lift-5,5,138.393,-135.355
Lift-4,5,140.605,-89.055
Lift-3,5,137.09,-89.028
Lift-8,5,92.111,-89.054
Lift-7,5,88.661,-88.972
